C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),AMPS ratio (mol%),conversion（%）,predicted_AMPS ratio (mol%)_random_forest,abs_error_AMPS ratio (mol%)_random_forest,predicted_conversion（%）_random_forest,abs_error_conversion（%）_random_forest,predicted_AMPS ratio (mol%)_decision_tree,abs_error_AMPS ratio (mol%)_decision_tree,predicted_conversion（%）_decision_tree,abs_error_conversion（%）_decision_tree,predicted_AMPS ratio (mol%)_gbt,abs_error_AMPS ratio (mol%)_gbt,predicted_conversion（%）_gbt,abs_error_conversion（%）_gbt,predicted_AMPS ratio (mol%)_xgb,abs_error_AMPS ratio (mol%)_xgb,predicted_conversion（%）_xgb,abs_error_conversion（%）_xgb,predicted_AMPS ratio (mol%)_svr,abs_error_AMPS ratio (mol%)_svr,predicted_conversion（%）_svr,abs_error_conversion（%）_svr,predicted_AMPS ratio (mol%)_linear_regression,abs_error_AMPS ratio (mol%)_linear_regression,predicted_conversion（%）_linear_regression,abs_error_conversion（%）_linear_regression
0.0,0.0980392156862745,0.009803921568627449,3.06,5,20,1.0,20.0,96.6,18.842,1.158,96.468,0.132,18.6,1.4,97.5,-0.9,20.038,-0.038,97.893,-1.293,20.39,-0.39,97.549,-0.949,19.665,0.335,98.408,-1.808,20.256,-0.256,99.385,-2.785
0.000980392156862745,9.80392156862745e-05,0.0,3.06,15,20,2.0,20.0,96.0,18.852,1.148,94.64,1.36,20.0,0.0,96.0,0.0,19.373,0.627,94.955,1.045,19.943,0.057,95.881,0.119,20.06,-0.06,96.1,-0.1,19.727,0.273,93.517,2.483
0.009803921568627449,0.000980392156862745,9.80392156862745e-05,3.06,20,20,0.0,20.0,94.0,19.74,0.26,92.932,1.068,20.0,0.0,94.0,0.0,19.494,0.506,92.568,1.432,19.86,0.14,93.418,0.582,20.142,-0.142,94.514,-0.514,19.12,0.88,90.826,3.174
0.0980392156862745,0.009803921568627449,0.000980392156862745,3.06,0,20,0.5,20.0,97.0,18.874,1.126,96.1,0.9,20.0,0.0,97.0,0.0,19.986,0.014,98.33,-1.33,19.968,0.032,97.025,-0.025,20.222,-0.222,96.9,0.1,20.974,-0.974,103.544,-6.544
0.0,0.000980392156862745,0.0980392156862745,3.57,15,20,0.5,19.0,83.6,19.19,-0.19,85.528,-1.928,19.0,0.0,83.6,0.0,18.679,0.321,83.349,0.251,19.006,-0.006,83.685,-0.085,18.336,0.664,83.5,0.1,17.444,1.556,79.578,4.022
0.000980392156862745,0.0980392156862745,9.80392156862745e-05,3.57,0,20,1.5,20.0,98.0,19.354,0.646,96.79,1.21,20.0,0.0,98.0,0.0,19.917,0.083,97.445,0.555,20.068,-0.068,97.926,0.074,20.106,-0.106,97.9,0.1,21.321,-1.321,105.679,-7.679
0.009803921568627449,0.0,0.000980392156862745,3.57,5,20,2.0,20.0,96.0,18.85,1.15,91.41,4.59,20.0,0.0,96.0,0.0,19.087,0.913,92.533,3.467,19.522,0.478,96.067,-0.067,19.68,0.32,93.344,2.656,20.549,-0.549,98.766,-2.766
0.0980392156862745,9.80392156862745e-05,0.009803921568627449,3.57,10,20,0.0,20.0,98.0,18.964,1.036,96.474,1.526,20.0,0.0,98.0,0.0,19.587,0.413,97.098,0.902,19.91,0.09,97.906,0.094,19.989,0.011,97.9,0.1,20.944,-0.944,102.903,-4.903
0.00111940298507463,0.00111940298507463,0.00111940298507463,1.34,10,30,1.0,28.0,85.0,28.14,-0.14,83.614,1.386,28.0,0.0,85.0,0.0,28.06,-0.06,78.811,6.189,28.001,-0.001,84.13,0.87,29.508,-1.508,75.689,9.311,27.605,0.395,82.2,2.8
0.0111940298507463,0.0111940298507463,0.0111940298507463,1.34,15,30,1.5,29.0,92.5,28.96,0.04,90.552,1.948,29.0,0.0,92.5,0.0,29.136,-0.136,90.115,2.385,29.105,-0.105,92.371,0.129,28.9,0.1,72.891,19.609,27.726,1.274,82.738,9.762
0.11194029850746301,0.11194029850746301,0.11194029850746301,1.34,20,30,2.0,30.0,97.0,27.22,2.78,94.704,2.296,30.0,0.0,97.0,0.0,29.556,0.444,99.345,-2.345,29.975,0.025,96.974,0.026,30.1,-0.1,96.899,0.101,27.987,2.013,86.147,10.853
0.0,0.0111731843575419,0.00011173184357541901,1.79,10,30,2.0,28.0,85.8,27.44,0.56,88.016,-2.216,28.0,0.0,85.8,0.0,28.558,-0.558,88.491,-2.691,28.08,-0.08,86.81,-1.01,29.694,-1.694,86.614,-0.814,28.568,-0.568,87.583,-1.783
0.00011173184357541901,0.11173184357541902,0.00111731843575419,1.79,15,30,0.0,30.0,98.0,29.06,0.94,96.302,1.698,30.0,0.0,98.0,0.0,29.696,0.304,96.617,1.383,29.914,0.086,97.713,0.287,29.953,0.047,97.9,0.1,28.814,1.186,91.894,6.106
0.00111731843575419,0.0,0.0111731843575419,1.79,20,30,0.5,28.0,85.1,28.08,-0.08,80.36,4.74,28.0,0.0,85.1,0.0,27.338,0.662,82.988,2.112,27.966,0.034,84.644,0.456,29.244,-1.244,84.118,0.982,27.565,0.435,81.667,3.433
0.0111731843575419,0.00011173184357541901,0.11173184357541902,1.79,0,30,1.0,25.0,83.8,25.64,-0.64,79.328,4.472,25.0,0.0,83.8,0.0,25.573,-0.573,84.23,-0.43,25.053,-0.053,84.19,-0.39,27.605,-2.605,74.256,9.544,25.747,-0.747,70.378,13.422
