,C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),AMPS ratio (mol%),conversion（%）
42,0.0111731843575419,0.00011173184357541901,0.11173184357541902,1.79,0,30,1.0,25.0,83.8
162,0.0075,0.003125,0.0,2.0,5,40,5.0,40.0,95.5
56,0.00125,0.00125,0.00125,1.2,10,40,1.0,36.0,69.6
129,0.0,0.0070999999999999995,0.000355,2.8169014084507,10,0,0.2,0.0,96.6
18,0.009803921568627449,0.009803921568627449,0.009803921568627449,1.53,15,20,1.5,19.7,97.0
134,0.000345,0.00138,0.0,1.44927536231884,5,100,0.2,100.0,98.0
160,0.0075,0.003125,0.025,2.0,5,40,1.0,40.0,95.2
24,0.0980392156862745,0.000980392156862745,0.0,2.04,5,20,1.5,15.0,78.0
153,0.00138888888888889,0.00555555555555556,0.00416666666666667,1.8,5,50,2.0,50.0,94.05
58,0.125,0.125,0.125,1.2,20,40,2.0,40.0,96.5
145,0.00555555555555556,0.00416666666666667,0.0,1.8,5,50,3.0,50.0,96.4
77,0.0138888888888889,0.0138888888888889,0.0138888888888889,1.08,15,50,1.5,41.0,46.8
52,0.000111821086261981,0.0111821086261981,0.0,3.13,20,30,1.0,30.0,98.0
44,0.00011210762331838599,0.0011210762331838602,0.0112107623318386,2.23,0,30,2.0,30.0,95.6
105,9.14634146341463e-05,0.0914634146341463,0.000914634146341463,3.28,5,10,1.0,10.0,98.0
60,0.000125,0.125,0.00125,1.6,15,40,0.0,33.0,68.4
138,0.00138888888888889,0.009722222222222219,0.0,1.8,5,50,5.0,50.0,94.3
88,0.00138888888888889,0.000138888888888889,0.0,2.16,15,50,2.0,50.0,94.3
49,0.0111940298507463,0.00111940298507463,0.000111940298507463,2.68,20,30,0.0,30.0,94.3
82,0.0138888888888889,0.000138888888888889,0.138888888888889,1.44,0,50,1.0,44.0,46.3
43,0.11173184357541902,0.00111731843575419,0.0,1.79,5,30,1.5,30.0,98.6
62,0.0125,0.000125,0.125,1.6,0,40,1.0,32.0,62.0
128,0.00071,0.00142,0.000355,2.8169014084507,10,0,0.2,0.0,98.7
